number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_train_size,state
19,0.6123144990321688,2023-11-17 17:21:48.509053,2023-11-17 17:26:22.136592,0 days 00:04:33.627539,3,3,9,1000,5,COMPLETE
20,0.6043012976270485,2023-11-17 17:26:36.417513,2023-11-17 17:27:36.066074,0 days 00:00:59.648561,2,5,7,250,8,COMPLETE
21,0.6535544187687423,2023-11-17 17:27:48.986419,2023-11-17 17:28:48.442485,0 days 00:00:59.456066,2,5,8,250,2,COMPLETE
22,0.6582921348314607,2023-11-17 17:29:01.583017,2023-11-17 17:30:03.721695,0 days 00:01:02.138678,2,5,8,250,2,COMPLETE
23,0.6544085263806924,2023-11-17 17:30:17.227650,2023-11-17 17:31:28.662928,0 days 00:01:11.435278,2,5,9,250,2,COMPLETE
24,0.6191614938434924,2023-11-17 17:31:41.698105,2023-11-17 17:32:39.867660,0 days 00:00:58.169555,2,5,8,250,7,COMPLETE
25,0.6395086608128209,2023-11-17 17:32:53.309868,2023-11-17 17:33:58.950663,0 days 00:01:05.640795,2,5,7,250,3,COMPLETE
26,0.6465996295316221,2023-11-17 17:34:12.231428,2023-11-17 17:35:23.250423,0 days 00:01:11.018995,3,5,8,250,2,COMPLETE
27,0.657510148849797,2023-11-17 17:35:37.047647,2023-11-17 17:40:09.367389,0 days 00:04:32.319742,2,5,9,1000,2,COMPLETE
28,0.650540014164306,2023-11-17 17:40:22.378518,2023-11-17 17:40:59.566604,0 days 00:00:37.188086,3,4,7,100,2,COMPLETE
29,0.6201211639686165,2023-11-17 17:41:13.436086,2023-11-17 17:44:26.170648,0 days 00:03:12.734562,2,4,5,500,4,COMPLETE
30,0.6575305414055809,2023-11-17 17:44:39.496134,2023-11-17 17:46:08.240559,0 days 00:01:28.744425,2,5,6,250,2,COMPLETE
31,0.6577653480084803,2023-11-17 17:46:22.104589,2023-11-17 17:47:47.552213,0 days 00:01:25.447624,2,5,6,250,2,COMPLETE
32,0.657350550839805,2023-11-17 17:48:00.630263,2023-11-17 17:49:04.708794,0 days 00:01:04.078531,2,5,6,250,2,COMPLETE
33,0.6068334150727481,2023-11-17 17:49:18.124615,2023-11-17 17:50:23.906063,0 days 00:01:05.781448,2,5,8,250,9,COMPLETE
34,0.6214481214232396,2023-11-17 17:50:37.618765,2023-11-17 17:51:52.251459,0 days 00:01:14.632694,2,5,5,250,4,COMPLETE
35,0.5970201665496138,2023-11-17 17:52:05.805101,2023-11-17 17:54:31.735425,0 days 00:02:25.930324,3,4,7,500,10,COMPLETE
36,0.6189627970889103,2023-11-17 17:54:46.024879,2023-11-17 17:58:47.436841,0 days 00:04:01.411962,2,5,6,1000,7,COMPLETE
37,0.6090703588584346,2023-11-17 17:59:01.992036,2023-11-17 18:00:25.305246,0 days 00:01:23.313210,3,5,8,250,8,COMPLETE
38,0.6152175965260077,2023-11-17 18:00:40.709869,2023-11-17 18:01:16.852468,0 days 00:00:36.142599,2,4,8,100,5,COMPLETE
39,0.648119723714505,2023-11-17 18:01:30.579664,2023-11-17 18:02:55.826218,0 days 00:01:25.246554,3,4,9,250,3,COMPLETE
40,0.6640472365736118,2023-11-17 18:03:09.528979,2023-11-17 18:05:58.360546,0 days 00:02:48.831567,4,3,7,500,2,COMPLETE
41,0.6605028238294771,2023-11-17 18:06:14.696089,2023-11-17 18:09:15.982288,0 days 00:03:01.286199,4,4,7,500,2,COMPLETE
42,0.6629140224289316,2023-11-17 18:09:30.019650,2023-11-17 18:12:48.362074,0 days 00:03:18.342424,4,3,7,500,2,COMPLETE
43,0.6645248122259367,2023-11-17 18:13:04.142559,2023-11-17 18:16:40.306859,0 days 00:03:36.164300,4,3,6,500,2,COMPLETE
44,0.6631757343994438,2023-11-17 18:16:54.940422,2023-11-17 18:19:58.080792,0 days 00:03:03.140370,4,3,7,500,2,COMPLETE
45,0.6040485829959514,2023-11-17 18:20:12.784129,2023-11-17 18:23:14.383237,0 days 00:03:01.599108,4,3,7,500,10,COMPLETE
46,0.6648064178583886,2023-11-17 18:23:30.396578,2023-11-17 18:26:19.310797,0 days 00:02:48.914219,4,3,7,500,2,COMPLETE
47,0.615105659025788,2023-11-17 18:26:33.953528,2023-11-17 18:29:18.867500,0 days 00:02:44.913972,4,3,6,500,6,COMPLETE
48,0.6621213467175979,2023-11-17 18:29:32.587865,2023-11-17 18:32:16.653044,0 days 00:02:44.065179,4,3,7,500,2,COMPLETE
49,0.6082956414473685,2023-11-17 18:32:30.535326,2023-11-17 18:35:26.752742,0 days 00:02:56.217416,4,3,5,500,9,COMPLETE
