number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_eval_metric,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,params_train_size,state
30,0.6705199712126664,2023-11-17 23:32:13.123047,2023-11-17 23:33:18.576768,0 days 00:01:05.453721,0.9,error@0.7,0.1,0.02,4,7,500,0.2,2,0.9,2,COMPLETE
31,0.6705199712126664,2023-11-17 23:33:39.972983,2023-11-17 23:39:12.422510,0 days 00:05:32.449527,0.9,error@0.7,0.1,0.02,4,7,500,0.2,2,0.9,2,COMPLETE
32,0.6480489308235741,2023-11-17 23:39:34.102099,2023-11-17 23:49:04.184148,0 days 00:09:30.082049,1.0,error@0.7,0.1,0.01,4,7,500,0.2,2,0.9,4,COMPLETE
33,0.6701311446159336,2023-11-17 23:49:27.545495,2023-11-17 23:51:57.283107,0 days 00:02:29.737612,0.9,error@0.7,0.1,0.02,4,8,500,0.2,2,0.9,2,COMPLETE
34,0.639205084424208,2023-11-17 23:52:20.149684,2023-11-17 23:55:21.048212,0 days 00:03:00.898528,0.9,error@0.7,0.1,0.02,4,7,500,0.2,2,0.9,6,COMPLETE
35,0.6411691231576317,2023-11-17 23:55:43.208418,2023-11-17 23:57:51.761181,0 days 00:02:08.552763,0.9,error@0.7,0.15000000000000002,0.01,4,6,500,0.2,2,0.9,7,COMPLETE
36,0.6698590050545358,2023-11-17 23:58:14.145338,2023-11-17 23:59:03.936324,0 days 00:00:49.790986,1.0,error@0.7,0.15000000000000002,0.05,4,8,500,0.1,2,0.9,2,COMPLETE
37,0.6242649835464207,2023-11-17 23:59:26.365444,2023-11-18 00:05:35.012417,0 days 00:06:08.646973,0.9,logloss,0.15000000000000002,0.02,4,7,1000,0.2,2,0.9,10,COMPLETE
38,0.6365810494092887,2023-11-18 00:05:56.744212,2023-11-18 00:08:58.449002,0 days 00:03:01.704790,0.9,error@0.7,0.15000000000000002,0.04,4,6,500,0.2,2,0.8,6,COMPLETE
39,0.6336255801959773,2023-11-18 00:09:21.124108,2023-11-18 00:12:07.711855,0 days 00:02:46.587747,0.9,error@0.7,0.1,0.01,4,8,500,0.1,2,0.9,9,COMPLETE
